ABSORBED WATER SUMMARY (Summed)
-------------------------------
Absorbed Iteration 142 total: 1732709.566118
Absorbed Iteration 143 total: 1643621.033446
Absorbed Iteration 144 total: 1559187.081033
Absorbed Iteration 145 total: 1479158.568460
Absorbed Iteration 146 total: 1403300.240933
Absorbed Iteration 147 total: 1331389.740025
Absorbed Iteration 148 total: 1263216.918160
Absorbed Iteration 149 total: 1198583.310135
Absorbed Iteration 150 total: 1137301.332119
Absorbed Iteration 151 total: 1079193.537230
Absorbed Iteration 152 total: 1024092.190242
Absorbed Iteration 153 total: 971838.812147
Absorbed Iteration 154 total: 922283.295352
Absorbed Iteration 155 total: 875283.961559
Absorbed Iteration 156 total: 830706.442241
Absorbed Iteration 157 total: 788423.847533
Absorbed Iteration 158 total: 748316.094785
Absorbed Iteration 159 total: 710269.413328
Absorbed Iteration 160 total: 674176.251539
Absorbed Iteration 161 total: 639934.823117
Absorbed Iteration 162 total: 607448.624216
Absorbed Iteration 163 total: 576626.412118
Absorbed Iteration 164 total: 547381.765327
Absorbed Iteration 165 total: 519632.852456
Absorbed Iteration 166 total: 493302.154497
Absorbed Iteration 167 total: 468316.239896
Absorbed Iteration 168 total: 444605.604464
Absorbed Iteration 169 total: 422104.369154
Absorbed Iteration 170 total: 400750.108863
Absorbed Iteration 171 total: 380483.716429
Absorbed Iteration 172 total: 361249.159367
Absorbed Iteration 173 total: 342993.336720
Absorbed Iteration 174 total: 325665.944026
Absorbed Iteration 175 total: 309219.275436
Absorbed Iteration 176 total: 293608.159541
Absorbed Iteration 177 total: 278789.709634
Absorbed Iteration 178 total: 264723.341624
Absorbed Iteration 179 total: 251370.550062
Absorbed Iteration 180 total: 238694.796614
Absorbed Iteration 181 total: 226661.498432
Absorbed Iteration 182 total: 215237.813085
Absorbed Iteration 183 total: 204392.630126
Absorbed Iteration 184 total: 194096.427630
Absorbed Iteration 185 total: 184321.200787
Absorbed Iteration 186 total: 175040.421177
Absorbed Iteration 187 total: 166228.899091
Absorbed Iteration 188 total: 157862.752619
Absorbed Iteration 189 total: 149919.319971
Absorbed Iteration 190 total: 142377.113524
Absorbed Iteration 191 total: 135215.742452
Absorbed Iteration 192 total: 128415.869164
Absorbed Iteration 193 total: 121959.131443
Absorbed Iteration 194 total: 115828.134844
Absorbed Iteration 195 total: 110006.342207
Absorbed Iteration 196 total: 104478.089869
Absorbed Iteration 197 total: 99228.495341
Absorbed Iteration 198 total: 94243.451043
Absorbed Iteration 199 total: 89509.561629
Absorbed Iteration 200 total: 85014.114520
Absorbed Iteration 201 total: 80745.042605
Absorbed Iteration 202 total: 76690.905251
Absorbed Iteration 203 total: 72840.832333
Absorbed Iteration 204 total: 69184.512858
Absorbed Iteration 205 total: 65712.157783
Absorbed Iteration 206 total: 62414.475070
Absorbed Iteration 207 total: 59282.648931
Absorbed Iteration 208 total: 56308.305636
Absorbed Iteration 209 total: 53483.503590
Absorbed Iteration 210 total: 50800.690238
Absorbed Iteration 211 total: 48252.716237
Absorbed Iteration 212 total: 45832.778908
Absorbed Iteration 213 total: 43534.423506
Absorbed Iteration 214 total: 41351.526720
Absorbed Iteration 215 total: 39278.270296
Absorbed Iteration 216 total: 37309.133482
Absorbed Iteration 217 total: 35438.873606
Absorbed Iteration 218 total: 33662.511497
Absorbed Iteration 219 total: 31975.323650
Absorbed Iteration 220 total: 30372.820628
Absorbed Iteration 221 total: 28850.741917
Absorbed Iteration 222 total: 27405.044878
Absorbed Iteration 223 total: 26031.885045
Absorbed Iteration 224 total: 24727.617559
Absorbed Iteration 225 total: 23488.778211
Absorbed Iteration 226 total: 22312.077612
Absorbed Iteration 227 total: 21194.393737
Absorbed Iteration 228 total: 20132.760719
Absorbed Iteration 229 total: 19124.363362
Absorbed Iteration 230 total: 18166.526746
Absorbed Iteration 231 total: 17256.711707
Absorbed Iteration 232 total: 16392.507842
Absorbed Iteration 233 total: 15571.622811
Absorbed Iteration 234 total: 14791.883501
Absorbed Iteration 235 total: 14051.223944
Absorbed Iteration 236 total: 13347.683337
Absorbed Iteration 237 total: 12679.397707
Absorbed Iteration 238 total: 12044.599149
Absorbed Iteration 239 total: 11441.606671
Absorbed Iteration 240 total: 10868.824808
Absorbed Iteration 241 total: 10324.738748
Absorbed Iteration 242 total: 9807.908529
Absorbed Iteration 243 total: 9316.967405
Absorbed Iteration 244 total: 8850.616781
Absorbed Iteration 245 total: 8407.624447
Absorbed Iteration 246 total: 7986.818544
Absorbed Iteration 247 total: 7587.086790
Absorbed Iteration 248 total: 7207.373262
Absorbed Iteration 249 total: 6846.674034
Absorbed Iteration 250 total: 6504.036254
Absorbed Iteration 251 total: 6178.554873
Absorbed Iteration 252 total: 5869.369914
